Type,Name,Statement,Where,Date,Link
0,true,Tim Kaine,“Virginia women are paid 80 cents for every dollar paid to Virginia men.”,tweet,"March 15, 2022",https://www.politifact.com/factchecks/2022/mar/18/tim-kaine/kaine-correctly-describes-virginias-pay-gap-betwee/
1,true,Nikki Fried,"Florida is ""49th in the nation when it comes to (Medicaid) funding” for people with disabilities.",virtual town hall meeting,"February 21, 2022",https://www.politifact.com/factchecks/2022/mar/14/nikki-fried/fact-checking-nikki-frieds-claim-about-floridas-me/
2,true,Kathy Hochul,“We are No. 1 among all large states in having fully vaccinated teenagers. We are No. 2 in all large states for having fully vaccinated five- to 11- year-olds.”,news conference,"February 27, 2022",https://www.politifact.com/factchecks/2022/mar/11/kathy-hochul/new-york-leader-vaccines-young-people-among-large-/
3,true,Glenn Grothman,"""The US has made strides in reducing carbon emissions that other parts of the world have not.""",Twitter,"February 3, 2022",https://www.politifact.com/factchecks/2022/mar/11/glenn-grothman/us-making-progress-cutting-greenhouse-gas-emission/
4,true,Robert Ortt,"“With the ongoing pandemic, our State Park attendance is at the highest it’s ever been.”",news release,"January 22, 2022",https://www.politifact.com/factchecks/2022/mar/09/robert-ortt/did-ny-state-park-attendance-set-record-during-pan/
5,true,Ted Cruz,"""In 2020, more journalists were killed in Mexico than in any other country in the world.""",committee meeting,"February 16, 2022",https://www.politifact.com/factchecks/2022/feb/28/ted-cruz/ted-cruz-right-more-journalists-killed-mexico-any-/
6,true,John Cornyn,"""100,000 Americans died of an overdose in a single year.""",tweet,"February 14, 2022",https://www.politifact.com/factchecks/2022/feb/21/john-cornyn/cornyn-right-drug-overdose-deaths-topped100000-nat/
7,true,Jennifer McClellan,“More than half of Virginia’s school buildings are older than 50 years.”,oped,"February 15, 2022",https://www.politifact.com/factchecks/2022/feb/18/jennifer-mcclellan/yes-most-virginia-schools-are-over-50-years-old/
8,true,Tony Evers,Says he has issued more pardons than “any Wisconsin governor in contemporary history.”,News release,"January 13, 2022",https://www.politifact.com/factchecks/2022/feb/15/tony-evers/heres-how-gov-tony-evers-blistering-pace-pardons-s/
9,true,Brian Tyler Cohen,"""Iowa Republicans have introduced a bill that would put government-installed cameras in every single classroom to livestream school activities for parents to spy on teachers and children.""",tweet,"February 2, 2022",https://www.politifact.com/factchecks/2022/feb/08/brian-tyler-cohen/yes-iowa-republicans-bill-would-put-cameras-classr/
10,true,Joni Ernst,"In Iowa, “since we have put a number of the voting laws into place over the last several years — voter ID is one of those — we've actually seen voter participation increase, even in off-election years.”",interview,"January 23, 2022",https://www.politifact.com/factchecks/2022/jan/26/joni-ernst/numbers-back-joni-ernst-claim-record-iowa-voter-tu/
11,true,Roger Williams,"""The number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020.""",email,"December 2, 2021",https://www.politifact.com/factchecks/2022/jan/18/roger-williams/williams-accurate-there-were-more-covid-19-deaths-/
12,true,Jen Psaki,"“You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die.”",White House press briefing,"January 10, 2022",https://www.politifact.com/factchecks/2022/jan/12/jen-psaki/data-suggests-unvaccinated-are-20-times-more-likel/
13,true,Iowa Senate Democrats,"Gov. Kim Reynolds, touting $210 million for Iowa broadband, “failed to mention these are actually federal funds approved by Rep. Cindy Axne and signed into law by President Joe Biden.”",statement,"January 5, 2022",https://www.politifact.com/factchecks/2022/jan/11/iowa-senate-democrats/iowa-broadband-touted-republicans-was-funded-democ/
14,true,NYS Department of Corrections and Community Supervision,"New York is ""leading the nation with the lowest imprisonment rate of any large state”",news release,"November 8, 2021",https://www.politifact.com/factchecks/2021/nov/19/nys-department-corrections-and-community-supervisi/among-large-states-ny-has-lowest-imprisonment-rate/
15,true,Cindy Axne,"“Iowa ranks 45th in the U.S. for internet connectivity.""",tweet,"November 5, 2021",https://www.politifact.com/factchecks/2021/nov/12/cindy-axne/iowa-45th-internet-connectivity-axne-says/
16,true,David Gura,“FUN FACT: West Virginia is home to zero billionaires.”,tweet,"October 27, 2021",https://www.politifact.com/factchecks/2021/nov/09/david-gura/west-virginia-home-zero-billionaires/
17,true,Kelda Helen Roys,Says gubernatorial candidate Rebecca Kleefisch “worked with Scott Walker to sign five abortion restrictions into law that took away services and threatened doctors with prison time for providing safe and legal abortions.”,Email,"September 28, 2021",https://www.politifact.com/factchecks/2021/nov/02/kelda-helen-roys/yes-five-abortion-restrictions-took-away-services-/
18,true,Randy Feenstra,"The Biden administration ""published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels.""",tweet,"October 5, 2021",https://www.politifact.com/factchecks/2021/oct/28/randy-feenstra/biden-administration-predicted-liquid-fuel-cars-ou/
19,true,Facebook posts,"""Southwest Airlines announce they will no longer terminate employees over the mandate.""",Facebook post,"October 13, 2021",https://www.politifact.com/factchecks/2021/oct/22/facebook-posts/southwest-ceo-said-employees-wont-be-fired-over-it/
20,true,Mark Pocan,"“The annual Pentagon budget hovers over $750 billion annually, twice that of the much debated Build Back Better Act that costs about $350 billion annually as currently proposed.”",Twitter,"October 3, 2021",https://www.politifact.com/factchecks/2021/oct/14/mark-pocan/yes-pentagons-annual-budget-twice-spending-propose/
21,true,Kathryn Moffett Bradford,"“If you look at the hospitalizations at Ruby Memorial in West Virginia, and around the country, 90% to 95% of those hospitalized are unvaccinated.”",comments at WVU faculty meeting,"September 1, 2021",https://www.politifact.com/factchecks/2021/oct/05/kathryn-moffett-bradford/are-90-95-those-hospitalized-covid-19-unvaccinated/
22,true,David McKinley,“Overdose deaths in WV are up 45% from the prior year.”,tweet,"August 10, 2021",https://www.politifact.com/factchecks/2021/oct/05/david-mckinley/did-west-virginia-see-45-increase-overdose-deaths-/
23,true,Chris Larson,"The GOP-controlled Legislature has ""refused to act on at least 150"" appointees of Gov. Tony Evers.",Twitter,"September 10, 2021",https://www.politifact.com/factchecks/2021/sep/24/chris-larson/yes-gop-controlled-legislature-has-refused-act-lea/
24,true,Mark Pocan,End of eviction moratorium means “millions of Americans” could lose their housing in the middle of a pandemic.,Twitter,"August 27, 2021",https://www.politifact.com/factchecks/2021/sep/03/mark-pocan/yes-millions-americans-could-lose-their-housing-mi/
25,true,Mitt Romney,"The Trump administration worked to free 5,000 Taliban prisoners.",CNN interview,"August 29, 2021",https://www.politifact.com/factchecks/2021/aug/31/mitt-romney/mitt-romney-accurately-says-trump-administration-w/
26,true,Mandela Barnes,"In Afghanistan, “over 100 billion dollars spent on military contracts.”",Twitter,"August 16, 2021",https://www.politifact.com/factchecks/2021/aug/31/mandela-barnes/yes-over-100-billion-was-spent-military-contracts-/
27,true,Viral image,A photo shows two COVID-19 patients lying on the floor awaiting treatment in Florida.,photo,"August 18, 2021",https://www.politifact.com/factchecks/2021/aug/20/viral-image/photo-real-it-shows-sick-covid-19-patients-floor-f/
28,true,Craig Thompson,"""We’ve got 115,000 miles of roads in this state and 90% is owned by the locals.”",TV interview,"July 5, 2021",https://www.politifact.com/factchecks/2021/aug/20/craig-thompson/yes-90-wisconsins-roadways-are-maintained-local-mu/
29,true,Gwen Moore,"“324,000 pregnant people experience domestic violence during their pregnancy.”",Twitter,"August 3, 2021",https://www.politifact.com/factchecks/2021/aug/13/gwen-moore/yes-about-324000-americans-year-experience-domesti/
